Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Sanghi Industries Limited,SANGHIIND.NS,70.1,68.9,1.2,25.87,2.71,357475,17.595B
Nordic Paper Holding AB (publ),NPAPER.ST,33.0,33.7,-0.7,10.19,3.24,25732,2.208B
KLX Energy Services Holdings Inc.,KLXE,17.31,16.92,0.39,0,-51.11,154552,179.103M
Ames National Corporation,ATLO,23.61,23.61,0.0,10.13,2.33,7085,214.666M
Cognyte Software Ltd.,CGNT,3.11,2.99,0.12,111.07,0.028,973925,208.401M
Hooker Furnishings Corporation,HOFT,18.7,18.37,0.33,0,-0.88,66611,222.947M
XOMA Corporation,XOMA,18.4,18.42,-0.02,23.5,0.78,13925,208.126M
Tide Water Oil Co. (India) Limited,TIDEWATER.NS,999.85,1002.65,-2.8,2.66,376.2,15688,17.421B
EMX Royalty Corporation,EMX,1.89,1.84,0.05,0,-0.058,184839,201.162M
Sify Technologies Limited,SIFY,1.1515,1.195,-0.04,0.3,3.9,90195,209.847M
Century Casinos Inc.,CNTY,7.03,7.0,0.03,0,-1.62,21718,208.192M
Nerdy Inc.,NRDY,2.25,2.2,0.05,0,-1.709,461209,188.719M
Western New England Bancorp Inc.,WNEB,9.46,9.44,0.02,15.71,0.6,43950,214.681M
Appen Limited,APX.AX,2.49,2.33,0.16,6.1,0.408,560372,306.457M
AirSculpt Technologies Inc.,AIRS,3.7,3.62,0.08,0,0,194214,205.869M
Assertio Holdings Inc.,ASRT,4.3,4.08,0.22,0,-0.27,1232859,191.927M
Duluth Holdings Inc.,DLTH,6.18,6.06,0.12,14.78,0.42,136479,204.326M
Evans Bancorp Inc.,EVBN,37.39,37.38,0.01,12.68,2.95,9044,204.404M
Vizsla Silver Corp.,VZLA,1.15,1.18,-0.03,0,0,83693,N/A
Gossamer Bio Inc.,GOSS,2.17,2.23,-0.06,0,-3.552,4710232,165.926M
VersaBank,VBNK,7.53,7.52,0.01,0,0,122125,N/A
TMC the metals company Inc.,TMC,0.77,0.7026,0.07,0,-0.81,1392814,173.449M
MainStreet Bancshares Inc.,MNSB,27.49,27.15,0.34,13.24,2.08,2703,208.78M
Weyco Group Inc.,WEYS,21.16,22.02,-0.86,0,-0.87,113581,206.318M
The ONE Group Hospitality Inc.,STKS,6.3,6.43,-0.13,0,-0.44,107652,202.278M
AMMO Inc.,POWW,1.73,1.71,0.02,0,-0.242,1285370,199.145M
The Joint Corp.,JYNT,13.98,13.8,0.18,15.53,0.9,292393,201.498M
LCNB Corp.,LCNB,18.0,18.0,0.0,11.46,1.57,11680,255.748M
C&F Financial Corporation,CFFI,58.27,58.45,-0.18,8.32,7.0,2739,N/A
AgileThought Inc.,AGIL,4.2,4.2,0.0,0,-16.298,15070,211.177M
ShiftPixy Inc.,PIXY,20.95,19.17,1.78,0,-3.23,16448,601.539M
Vintage Wine Estates Inc.,VWE,3.26,3.175,0.08,31.05,0.105,170750,197.105M
VOXX International Corporation,VOXX,8.38,8.33,0.05,0,-0.19,91817,200.078M
Backblaze Inc.,BLZE,6.15,5.74,0.41,0,-0.83,233605,186.345M
Mahanagar Telephone Nigam Limited,MTNL.NS,26.15,26.05,0.1,0,-39.41,2792351,16.475B
Dhampur Sugar Mills Limited,DHAMPURSUG.NS,248.55,247.85,0.7,7.2,34.52,537537,16.501B
Lineage Cell Therapeutics Inc.,LCTX,1.17,1.24,-0.07,0,-0.08,876914,197.213M
Cepton Inc.,CPTN,1.27,1.27,0.0,0,0,112997,N/A
Rent the Runway Inc.,RENT,3.05,3.2,-0.15,0,-17.899,1498139,192.261M
22nd Century Group Inc.,XXII,0.9205,0.8936,0.03,0,-0.142,1063225,149.81M
1stdibs.Com Inc.,DIBS,5.08,5.2,-0.12,0,-1.31,232416,192.409M
Marinus Pharmaceuticals Inc.,MRNS,3.98,3.8,0.18,0,-2.8,345160,146.349M
Caesarstone Ltd.,CSTE,5.71,5.72,-0.01,27.19,0.21,64769,196.824M
Shalby Limited,SHALBY.NS,150.75,147.7,3.05,105.42,1.43,214046,16.283B
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,234.7,239.6,-4.9,0,-8.57,347653,16.244B
Nelco Limited,NELCO.NS,711.9,702.3,9.6,131.35,5.42,69217,16.244B
KVH Industries Inc.,KVHI,10.22,9.87,0.35,0,-1.24,24054,193.149M
Accuray Incorporated,ARAY,2.09,2.06,0.03,41.8,0.05,182530,190.021M
Big 5 Sporting Goods Corporation,BGFV,8.83,8.97,-0.14,3.42,2.58,425883,197.004M
Virginia National Bankshares Corporation,VABK,36.66,36.0,0.66,12.36,2.97,17576,194.604M
The Cato Corporation,CATO,9.33,9.43,-0.1,0,-2.01,108276,205.492M
Urban One Inc.,UONE,4.55,4.57,-0.02,0,-0.18,34462,185.657M
Thorne HealthTech Inc.,THRN,3.63,3.59,0.04,0,-0.05,210843,190.739M
Méliuz S.A.,CASH3.SA,1.18,1.19,-0.01,5.87,0.201,24576400,945.556M
Beyond Air Inc.,XAIR,6.49,6.44,0.05,0,-1.25,236411,172.894M
Hill International Inc.,HIL,3.4,3.4,0.0,0,-0.145,128887,192.705M
Absci Corporation,ABSI,2.1,2.24,-0.14,0,-2.684,735829,194.442M
PLAIDInc.,4165.T,663.0,688.0,-25.0,0,-34.24,3826300,25.732B
The Arena Group Holdings Inc.,AREN,10.61,10.54,0.07,0,0,42902,N/A
Graphite Bio Inc.,GRPH,3.32,3.22,0.1,0,-7.054,66651,192.822M
PlayAGS Inc.,AGS,5.1,4.87,0.23,0,-2.4,155237,188.336M
Veritone Inc.,VERI,5.3,5.13,0.17,0,-1.74,300386,184.846M
Kingsway Financial Services Inc.,KFS,7.93,7.85,0.08,0,-0.35,7809,191.18M
Cardlytics Inc.,CDLX,5.78,5.83,-0.05,0,-2.04,775751,192.296M
Digital Domain Holdings Limited,0547.HK,0.345,0.355,-0.01,0,-0.013,470000,1.494B
Ellomay Capital Ltd.,ELLO,14.91,14.99,-0.08,0,-0.46,740,191.583M
I G Petrochemicals Limited,IGPL.NS,513.85,515.15,-1.3,17.15,29.97,8211,15.825B
Lumax Industries Limited,LUMAXIND.NS,1692.1,1723.65,-31.55,133.95,12.63,5943,15.865B
Fiesta Restaurant Group Inc.,FRGI,7.35,7.42,-0.07,0,-0.4,49422,190.816M
AXT Inc.,AXTI,4.38,4.45,-0.07,27.38,0.16,102891,187.336M
GTPL Hathway Limited,GTPL.NS,139.6,131.35,8.25,8.34,16.73,277061,15.7B
Home Point Capital Inc.,HMPT,1.37,1.405,-0.03,0.58,2.354,42201,191.153M
Kingfa Science & Technology (India) Limited,KINGFA.NS,1293.1,1259.35,33.75,361.0,3.58,5008,15.907B
Alpine Summit Energy Partners Inc.,ALPS,5.01,5.02,-0.01,0,0,43828,N/A
Porch Group Inc.,PRCH,1.88,1.82,0.06,0,-1.593,1638950,184.36M
Rite Aid Corporation,RAD,3.34,3.31,0.03,0,-1.699,2308285,186.276M
Asure Software Inc.,ASUR,9.34,9.09,0.25,0,-1.03,107287,186.506M
Tethys Oil AB (publ),TETY.ST,60.5,61.85,-1.35,611.11,0.1,84930,1.971B
Indo Rama Synthetics (India) Limited,INDORAMA.NS,59.55,58.8,0.75,0,-2.49,199108,15.563B
CSI Compressco LP,CCLP,1.33,1.28,0.05,0,-1.561,80792,186.715M
Penns Woods Bancorp Inc.,PWOD,26.62,26.66,-0.04,12.05,2.21,8161,188.191M
Bank of InnovationInc.,4393.T,6260.0,6380.0,-120.0,65.64,95.37,1731000,24.034B
Celularity Inc.,CELU,1.29,1.24,0.05,0,-1.997,661642,159.269M
BlackSky Technology Inc.,BKSY,1.54,1.35,0.19,0,-2.447,844508,178.819M
Limestone Bancorp Inc.,LMST,24.42,24.4,0.02,17.7,1.38,4236,185.646M
Affimed N.V.,AFMD,1.24,1.23,0.01,0,-0.597,559974,148.548M
Shankara Building Products Limited,SHANKARA.NS,669.95,658.25,11.7,108.99,6.15,26616,15.308B
AN2 Therapeutics Inc.,ANTX,9.53,9.23,0.3,0,0,21161,N/A
Kamux Oyj,KAMUX.HE,4.33,5.115,-0.79,7.47,0.58,3018425,173.118M
Greenhill & Co. Inc.,GHL,10.25,10.14,0.11,6.06,1.69,45352,189.562M
Berkeley Lights Inc.,BLI,2.68,2.77,-0.09,0,-1.002,1197301,180.832M
Hester Biosciences Limited,HESTERBIO.NS,1791.65,1798.35,-6.7,55.4,32.34,2699,15.241B
Tupperware Brands Corporation,TUP,4.14,4.0,0.14,1.93,2.14,995892,202.364M
Maiden Holdings Ltd.,MHLD,2.11,2.08,0.03,2.27,0.93,72588,182.396M
GTL Infrastructure Limited,GTLINFRA.NS,1.2,1.2,0.0,0,-1.808,10915507,16.133B
Peoples Bancorp of North Carolina Inc.,PEBK,32.56,32.25,0.31,14.39,2.26,5243,184.341M
Acacia Research Corporation,ACTG,4.21,4.26,-0.05,2.73,1.54,249509,208.782M
Huhtamaki India Limited,HUHTAMAKI.NS,199.35,202.8,-3.45,15.68,12.71,78766,15.055B
UBM Development AG,UBS.VI,22.8,23.1,-0.3,5.2,4.39,13673,170.366M
Danimer Scientific Inc.,DNMR,1.79,1.71,0.08,0,-0.673,1478462,174.94M
WM Technology Inc.,MAPS,1.01,0.93,0.08,0,-0.007,889238,66.334M
Alico Inc.,ALCO,23.87,23.8,0.07,6.71,3.56,92664,179.883M
Xeris Biopharma Holdings Inc.,XERS,1.33,1.25,0.08,0,-2.137,838242,165.863M
Silvercrest Asset Management Group Inc.,SAMG,18.77,18.34,0.43,17.91,1.05,40635,181.191M
Olympique Lyonnais Groupe SA,OLG.PA,2.97,2.98,-0.01,0,-1.759,9878,168.272M
Kamada Ltd.,KMDA,4.01,3.98,0.03,10.55,0.38,38556,181.627M
UNITED Inc.,2497.T,1225.0,1209.0,16.0,5.64,217.38,27500,25.531B
Rottneros AB (publ),RROS.ST,12.22,12.66,-0.44,0,-0.5,200005,1.864B
InfuSystem Holdings Inc.,INFU,8.68,8.46,0.22,10.85,0.8,26978,179.237M
Fathom Digital Manufacturing Corporation,FATH,1.32,1.28,0.04,0,-3.935,80664,68.123M
Wendt (India) Limited,WENDT.NS,7400.35,7343.35,57.0,115.94,63.83,365,14.853B
GreenLight Biosciences Holdings,GRNA,1.18,1.12,0.06,0,0,547478,N/A
Incannex Healthcare Limited,IXHL,2.8,2.89,-0.09,0,0,4922,N/A
LianBio,LIAN,1.64,1.55,0.09,0,-9.504,186373,175.872M
The KCP Limited,KCP.NS,113.85,110.25,3.6,13.1,8.69,217423,14.683B
PlaySide Studios Limited,PLY.AX,0.64,0.615,0.03,0,-0.21,12050,259.13M
Savara Inc.,SVRA,1.55,1.53,0.02,0,-0.837,104690,176.497M
Vaxxinity Inc.,VAXX,1.4,1.43,-0.03,0,-1.383,100116,175.552M
Biodesix Inc.,BDSX,2.3,2.01,0.29,0,-1.364,290995,62.163M
Yunji Inc.,YJ,0.8166,0.788,0.03,0,-0.108,84104,174.207M
Velodyne Lidar Inc.,VLDR,0.7387,0.7692,-0.03,0,-1.521,2479587,145.115M
China Automotive Systems Inc.,CAAS,5.8,5.78,0.02,0,-0.16,172267,178.94M
Repco Home Finance Limited,REPCOHOME.NS,230.5,224.5,6.0,4.96,46.51,185297,14.42B
Third Harmonic Bio Inc.,THRD,4.3,4.2,0.1,0,0,310909,N/A
Excel Industries Limited,EXCELINDUS.NS,1142.1,1139.25,2.85,22.6,50.54,3297,14.462B
CorMedix Inc.,CRMD,4.22,3.97,0.25,0,-0.771,278737,160.725M
Cigniti Technologies Limited,CIGNITITEC.NS,527.2,528.3,-1.1,13.96,37.77,36397,14.789B
Applied Blockchain Inc.,APLD,1.84,1.88,-0.04,0,-0.243,479755,204205
Platinum Group Metals Ltd.,PLG,1.74,1.65,0.09,0,-0.168,397783,138.723M
Selecta Biosciences Inc.,SELB,1.13,1.13,0.0,0,-0.681,530766,131.813M
Faraday Future Intelligent Electric Inc.,FFIE,0.2903,0.2934,-0.0,0,-1.621,27559824,94.162M
Indian Metals and Ferro Alloys Limited,IMFA.NS,263.6,258.65,4.95,14.23,18.52,80606,7.112B
The Beachbody Company Inc.,BODY,0.526,0.5235,0.0,0,-1.221,399381,162.78M
Hurco Companies Inc.,HURC,26.13,26.36,-0.23,0,-0.7,5794,172.495M
Ashiana Housing Limited,ASHIANA.NS,136.8,136.25,0.55,0,-0.09,12568,14.002B
Drecom Co.Ltd.,3793.T,803.0,772.0,31.0,14.15,56.74,378700,23.001B
Andrew Peller Limited,ADW-A.TO,4.99,4.97,0.02,6.58,0.758,9439,228.186M
MPS Limited,MPSLTD.NS,826.5,818.85,7.65,27.72,29.82,11551,14.919B
G5 Entertainment AB (publ),G5EN.ST,210.4,210.0,0.4,11.01,19.11,20570,1.821B
Whole Earth Brands Inc.,FREE,4.07,4.16,-0.09,0,-0.12,149630,156.603M
The Real Good Food Company Inc.,RGF,6.63,6.4,0.23,0,-423.15,90478,40.906M
Kandi Technologies Group Inc.,KNDI,2.3,2.31,-0.01,0,-0.186,378177,177.986M
Oriental Aromatics Limited,OAL.NS,418.9,420.05,-1.15,13.64,30.72,3256,14.205B
AC Immune SA,ACIU,2.04,1.83,0.21,0,-1.079,184339,148.212M
JAKKS Pacific Inc.,JAKK,17.49,17.47,0.02,0,-6.53,32474,166.217M
Summit Midstream Partners LP,SMLP,16.68,16.76,-0.08,0.23,71.19,52468,119.593M
RPG Life Sciences Limited,RPGLIFE.NS,847.05,851.45,-4.4,35.02,24.19,9510,14.009B
Softstar Entertainment Inc.,6111.TWO,65.1,62.9,2.2,72.33,0.9,8010889,4.27B
Forum Energy Technologies Inc.,FET,29.5,29.5,0.0,0,-17.37,75591,167.572M
Matrix Service Company,MTRX,6.22,6.44,-0.22,0,-0.71,212032,166.478M
Babylon Holdings Limited,BBLN,6.75,6.54,0.21,0,-0.24,95704,2.767B
Hut 8 Mining Corp.,HUT,0.85,0.8425,0.01,2.11,0.403,1807653,141.728M
Wheels India Limited,WHEELS.NS,575.4,569.8,5.6,0,-8.87,4875,13.85B
Sunlight Financial Holdings Inc.,SUNL,1.29,1.23,0.06,0,-0.083,310270,109.412M
Lifetime Brands Inc.,LCUT,7.59,7.76,-0.17,0,-0.14,13439,167.118M
KalVista Pharmaceuticals Inc.,KALV,6.76,6.83,-0.07,0,-2.12,184408,165.416M
Great Ajax Corp.,AJX,7.25,7.23,0.02,7.26,1.0,75708,167.787M
CalAmp Corp.,CAMP,4.48,4.55,-0.07,0,-1.642,298891,160.848M
Nam Tai Property Inc.,NTP,4.215,4.27,-0.05,3.73,1.13,1,165.472M
AlphaPolis Co. Ltd.,9467.T,2283.0,2271.0,12.0,17.78,128.42,6800,22.116B
AVITA Medical Inc.,RCEL,6.6,6.59,0.01,0,-0.19,36928,164.506M
INEOS Styrolution India Limited,INEOSSTYRO.NS,776.9,769.45,7.45,11.09,70.07,17206,13.668B
Riverview Bancorp Inc.,RVSB,7.68,7.66,0.02,16.34,0.47,11517,170.225M
Sasken Technologies Limited,SASKEN.NS,907.0,890.7,16.3,11.89,76.26,11728,13.66B
AFC Energy plc,AFC.L,18.5,18.55,-0.05,0,-0.8,345787,135.88M
Aptech Limited,APTECHT.NS,329.3,317.75,11.55,110.13,2.99,414475,13.599B
Conn's Inc.,CONN,6.88,6.99,-0.11,0,-0.11,293555,203.074M
LL Flooring Holdings Inc.,LL,5.62,5.64,-0.02,2.68,2.1,466522,163.476M
Pear Therapeutics Inc.,PEAR,1.18,1.06,0.12,0,-11.772,718372,162.603M
Intevac Inc.,IVAC,6.47,6.28,0.19,0,-0.18,107137,159.103M
XL Fleet Corp.,XL,1.14,0.8708,0.27,0,-0.303,2730898,158.938M
Sandhar Technologies Limited,SANDHAR.NS,224.95,228.7,-3.75,45.67,4.93,26352,13.54B
a.k.a. Brands Holding Corp.,AKA,1.27,1.21,0.06,0,-0.007,87659,163.383M
Invivyd Inc.,IVVD,1.5,1.49,0.01,0,0,384090,N/A
Immutep Limited,IMMP,1.75,1.75,0.0,0,-0.46,64721,131.76M
Identiv Inc.,INVE,7.24,6.97,0.27,0,-0.34,265218,160.777M
Omaxe Limited,OMAXE.NS,73.55,72.95,0.6,0,-19.72,85745,13.452B
Akoustis Technologies Inc.,AKTS,2.82,2.79,0.03,0,-1.103,590410,146.767M
Spok Holdings Inc.,SPOK,8.19,8.18,0.01,0,-2.2,162398,159.553M
Ceragon Networks Ltd.,CRNT,1.91,1.92,-0.01,0,-0.211,209887,159.448M
BGSF Inc.,BGSF,15.32,14.9,0.42,109.43,0.14,18512,159.388M
D-Wave Quantum Inc.,QBTS,1.44,1.46,-0.02,0,0,248984,N/A
Potbelly Corporation,PBPB,5.57,5.59,-0.02,0,-2.74,23268,160.142M
Zomedica Corp.,ZOM,0.163,0.1635,-0.0,0,-0.05,6254141,159.723M
Nature's Sunshine Products Inc.,NATR,8.32,8.39,-0.07,7.78,1.07,19207,164.408M
Ouster Inc.,OUST,0.863,0.8947,-0.03,0,-1.159,1856152,148.094M
Isbir Holding A.S.,ISBIR.IS,92.0,94.25,-2.25,0.49,186.54,9700,2.98B
Bassett Furniture Industries Incorporated,BSET,17.38,17.14,0.24,0,-0.77,29023,169.557M
Sequans Communications S.A.,SQNS,3.32,2.78,0.54,0,-1.644,135118,124.396M
Kossan Rubber Industries Bhd,7153.KL,1.1,1.13,-0.03,3.37,0,4509500,703.415M
GlycoMimetics Inc.,GLYC,3.03,3.01,0.02,0,-1.213,1107853,156.769M
Battalion Oil Corporation,BATL,9.71,9.97,-0.26,0,-7.27,4798,158.02M
KemPharm Inc.,KMPH,4.59,4.56,0.03,0,-3.205,301791,162.116M
NGL Energy Partners LP,NGL,1.21,1.16,0.05,0,-5.816,786344,156.809M
Stratus Properties Inc.,STRS,19.29,19.6,-0.31,0,-2.78,33705,159.05M
AgroFresh Solutions Inc.,AGFS,2.96,2.96,0.0,0,-1.264,48533,154.94M
Skipper Limited,SKIPPER.NS,126.4,140.1,-13.7,60.48,2.09,2809027,13.003B
ProPhase Labs Inc.,PRPH,9.63,9.53,0.1,0,-0.18,211068,149.129M
Lantronix Inc.,LTRX,4.32,4.17,0.15,0,-0.163,134936,148.798M
Alaunos Therapeutics Inc.,TCRT,0.6491,0.6557,-0.01,0,0,4144579,N/A
BAIOO Family Interactive Limited,2100.HK,0.43,0.425,0.01,0,-0.006,466000,1.192B
Gracell Biotechnologies Inc.,GRCL,2.3,2.41,-0.11,0,-1.243,156766,155.249M
Rane Holdings Limited,RANEHOLDIN.NS,901.45,913.85,-12.4,0,-20.46,15448,12.871B
Oxford Square Capital Corp.,OXSQ,3.12,3.01,0.11,1.51,2.07,218109,154.925M
Zentek Ltd.,ZTEK,1.5499,1.46,0.09,0,0,43096,N/A
Unifi Inc.,UFI,8.61,8.56,0.05,0,-0.25,134289,159.535M
Kitex Garments Limited,KITEX.NS,192.9,192.25,0.65,20.16,9.57,99983,12.828B
Cooper-Standard Holdings Inc.,CPS,9.06,8.68,0.38,0,-15.82,379201,153.94M
Ashford Hospitality Trust Inc.,AHT,4.47,4.35,0.12,0,-33.0,473230,151.334M
Kuantum Papers Limited,KUANTUM.NS,146.35,149.85,-3.5,0,-1.15,126058,12.771B
Igarashi Motors India Limited,IGARASHI.NS,404.05,408.35,-4.3,75.68,5.34,13662,12.744B
Merrimack Pharmaceuticals Inc.,MACK,11.46,11.11,0.35,0,-0.23,186212,153.681M
Richmond Mutual Bancorporation Inc.,RMBI,13.01,13.0,0.01,13.84,0.94,3286,161.643M
First Northwest Bancorp,FNWB,15.36,15.07,0.29,11.31,1.36,3260,154.001M
Altisource Portfolio Solutions S.A.,ASPS,9.46,9.96,-0.5,0,-4.31,305221,150.455M
ADS-TEC Energy PLC,ADSE,3.12,2.98,0.14,0,-99.619,58438,152.281M
E Automotive Inc.,EINC.TO,3.87,3.64,0.23,0,-1.705,300,185.945M
Yatra Online Inc.,YTRA,2.41,2.45,-0.04,0,-0.122,30000,149.903M
Startek Inc.,SRT,3.75,3.74,0.01,0,-0.99,58928,153.016M
kneat.com inc.,FOBK.F,1.77,1.77,0.0,0,-0.058,100,137.45M
InterCure Ltd.,INCR,3.3,3.44,-0.14,0,0,44857,148.48M
Foseco India Limited,FOSECOIND.NS,1935.95,1928.85,7.1,80.1,24.17,835,12.364B
BBX Capital Inc.,BBXIA,9.09,8.75,0.34,4.44,2.05,5564,178.707M
Doma Holdings Inc.,DOMA,0.4529,0.435,0.02,0,-1.303,723380,146.094M
Genius Brands International Inc.,GNUS,0.465,0.493,-0.03,0,-2.82,2456059,141.011M
Atomera Incorporated,ATOM,6.22,6.31,-0.09,0,-0.74,162543,144.042M
Gencor Industries Inc.,GENC,10.1,10.13,-0.03,32.06,0.31,11002,148.043M
Mistras Group Inc.,MG,4.93,5.04,-0.11,0,-3.412,21775,145.229M
Pkp Cargo S.A.,PKP.WA,14.5,14.6,-0.1,0,-5.01,81499,649.41M
Hawthorn Bancshares Inc.,HWBK,21.77,21.45,0.32,7.25,3.0,2404,144.052M
ECB Bancorp Inc.,ECBK,16.05,16.22,-0.17,0,0,9309,N/A
X-Legend Entertainment Co. Ltd.,4994.TW,40.9,40.8,0.1,10.46,3.91,71010,4.525B
PT Nusantara Pelabuhan Handal Tbk,PORT.JK,820.0,860.0,-40.0,0,-23.0,62100,2.307T
INNOVATE Corp.,VATE,1.87,1.26,0.61,0,-3.174,5314401,145.426M
CleanSpark Inc.,CLSK,2.04,1.95,0.09,0,-2.059,1736565,84.554M
Parag Milk Foods Limited,PARAGMILK.NS,102.85,103.1,-0.25,21.37,4.81,184116,9.809B
Hanover Bancorp Inc.,HNVR,20.39,19.85,0.54,0,0,2505,N/A
Aveanna Healthcare Holdings Inc.,AVAH,0.78,0.6756,0.1,0,-0.028,333420,143.648M
AdTheorent Holding Company Inc.,ADTH,1.66,1.66,0.0,5.35,0.31,53736,148.986M
Local Bounti Corporation,LOCL,1.39,1.3,0.09,0,-3.156,250537,120.019M
Mister Spex SE,MRX.F,3.955,3.935,0.02,0,-8.076,124,133.526M
Arteris Inc.,AIP,4.3,4.19,0.11,0,-0.42,71005,134.396M
Singular Genomics Systems Inc.,OMIC,2.01,2.02,-0.01,0,-2.75,87817,144.838M
Benessere Capital Acquisition Corp.,BENE,10.44,10.44,0.0,0,-0.06,20259,155.491M
Chinese Gamer International Corporation,3083.TWO,51.0,50.0,1.0,5100.0,0.01,2940501,4.4B
Liberty TripAdvisor Holdings Inc.,LTRPA,0.6696,0.6163,0.05,0,-5.173,645080,62.837M
Alithya Group Inc.,ALYA,1.5,1.5,0.0,0,-0.684,23015,125.81M
Serverworks Co.Ltd.,4434.T,2447.0,2418.0,29.0,38.71,63.21,26300,18.771B
Taysha Gene Therapies Inc.,TSHA,2.26,2.2,0.06,0,-3.808,512642,86.951M
Vroom Inc.,VRM,1.02,0.9951,0.02,0,-2.231,3134580,139.646M
Sonendo Inc.,SONX,2.83,2.49,0.34,0,-38.97,476968,74.526M
Oconee Federal Financial Corp.,OFED,25.0,24.8,0.2,33.83,0.74,4,139.724M
Vera Bradley Inc.,VRA,4.53,4.38,0.15,17.42,0.26,380396,152.798M
Cadiz Inc.,CDZI,2.5,2.51,-0.01,0,-1.106,143893,109.14M
Aemetis Inc.,AMTX,3.96,4.015,-0.05,0,-1.745,636464,131.827M
Cipher Mining Inc.,CIFR,0.56,0.4488,0.11,0,0,3956499,137.973M
Escalade Incorporated,ESCA,10.18,10.03,0.15,4.92,2.07,23216,137.321M
Republic First Bancorp Inc.,FRBK,2.15,2.14,0.01,11.62,0.185,181013,127.828M
InflaRx N.V.,IFRX,3.1,2.85,0.25,0,-1.51,192127,136.978M
SmileDirectClub Inc.,SDC,0.3522,0.3581,-0.01,0,-2.334,2331341,136.692M
Geojit Financial Services Limited,GEOJITFSL.NS,47.3,47.35,-0.05,10.72,4.41,161534,11.292B
So-Young International Inc.,SY,1.29,1.27,0.02,161.25,0.008,181987,135.264M
BankFinancial Corporation,BFIN,10.53,10.5,0.03,19.11,0.55,36305,139.846M
Milestone Pharmaceuticals Inc.,MIST,3.96,3.9,0.06,0,-1.703,63526,118.295M
Frequency Therapeutics Inc.,FREQ,3.85,3.24,0.61,0,-2.149,1663477,133.219M
Malvern Bancorp Inc.,MLVF,17.75,17.74,0.01,63.85,0.28,21253,135.296M
KULR Technology Group Inc.,KULR,1.2,1.21,-0.01,0,-0.125,222883,125.684M
Planet 13 Holdings Inc.,PLTH.CN,0.83,0.88,-0.05,0,-0.064,169107,163.065M
Rico Auto Industries Limited,RICOAUTO.NS,82.7,77.95,4.75,0,-2.13,1442867,11.188B
Old Point Financial Corporation,OPOF,27.0,27.19,-0.19,19.72,1.37,3257,141.638M
PaySign Inc.,PAYS,2.58,2.4,0.18,0,-0.19,64684,133.365M
Sachem Capital Corp.,SACH,3.3,3.36,-0.06,8.11,0.407,641468,104.597M
Spire Global Inc.,SPIR,0.96,0.9198,0.04,0,-3.554,617921,133.499M
Westport Fuel Systems Inc.,WPRT,0.7748,0.7698,0.01,0,-0.054,1101586,132.331M
Tabula Rasa HealthCare Inc.,TRHC,4.95,4.73,0.22,0,-3.711,71232,127.308M
