Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Westports Holdings Berhad,5246.KL,3.8,3.75,0.05,23.31,0,1819700,12.958B
e.l.f. Beauty Inc.,ELF,55.3,55.68,-0.38,498.2,0.11,389279,2.877B
Chindata Group Holdings Limited,CD,7.97,7.97,0.0,104.87,0.08,686142,2.891B
Galapagos NV,GLPG,44.38,44.54,-0.16,0,-5.66,103786,2.922B
Sigma Lithium Corporation,SGML,28.22,27.49,0.73,0,-0.18,444589,2.804B
AMP Limited,AMP.AX,1.315,1.325,-0.01,25.78,0.051,4732462,4.295B
Growthpoint Properties Limited,GRT.JO,1454.0,1459.0,-5.0,0,-3.79,2794469,4.948T
PJT Partners Inc.,PJT,73.69,74.94,-1.25,15.73,4.68,81333,1.788B
Liberty Energy Inc.,LBRT,16.01,15.93,0.08,0,-1.44,1310797,2.978B
Unicaja Banco S.A.,UNI.MC,1.031,1.058,-0.03,22.91,0.045,2820688,2.737B
Ollie's Bargain Outlet Holdings Inc.,OLLI,46.84,46.93,-0.09,12.73,3.68,1045835,2.957B
Delhivery Limited,DELHIVERY.NS,331.45,332.55,-1.1,0,0,172591,N/A
ABM Industries Incorporated,ABM,44.42,44.77,-0.35,63.73,0.7,206806,2.99B
EngageSmart Inc.,ESMT,17.6,17.32,0.28,0,-0.05,231260,2.846B
John Bean Technologies Corporation,JBT,91.33,91.89,-0.56,27.43,3.33,108919,2.901B
Array Technologies Inc.,ARRY,19.33,19.03,0.3,39.77,0.49,1664195,2.61B
Papa John's International Inc.,PZZA,82.31,83.21,-0.9,64.3,1.28,309651,2.993B
GN Store Nord A/S,GNN.F,21.31,21.49,-0.18,16.46,1.29,40,2.721B
SITE Centers Corp.,SITC,13.66,13.48,0.18,0,-0.02,2199927,2.885B
Old Mutual Limited,OMU.JO,1046.0,1060.0,-14.0,0,-1.16,4267670,4.926T
MakeMyTrip Limited,MMYT,27.57,27.45,0.12,0,-3.74,165085,2.887B
Greggs plc,GRG.L,2346.0,2356.0,-10.0,0,-12.9,45886,2.39B
Graham Holdings Company,GHC,604.21,606.37,-2.16,10.39,58.13,16057,2.992B
Ardagh Metal Packaging S.A.,AMBP,4.81,4.8,0.01,0,-0.269,1306357,3.091B
GMR Airports Infrastructure Limited,GMRINFRA.NS,39.75,39.4,0.35,0,-4.79,9126826,239.929B
Equitrans Midstream Corporation,ETRN,6.7,6.82,-0.12,6.33,1.06,1896374,2.898B
Kosmos Energy Ltd.,KOS,6.36,6.37,-0.01,0,-1.02,3343088,2.874B
BancFirst Corporation,BANF,88.18,88.41,-0.23,24.54,3.59,60185,2.872B
AbCellera Biologics Inc.,ABCL,10.13,10.05,0.08,15.73,0.64,1413948,2.852B
Enovis Corporation,ENOV,53.52,54.24,-0.72,0,0,157344,N/A
Daqo New Energy Corp.,DQ,38.61,39.36,-0.75,22.74,1.7,699970,2.838B
Bellway p.l.c.,BWY.L,1907.5,1943.0,-35.5,12.91,147.8,93246,2.354B
Progyny Inc.,PGNY,31.15,31.32,-0.17,34.34,0.91,378443,2.817B
Rush Enterprises Inc.,RUSHA,52.28,52.3,-0.02,21.57,2.42,177758,2.874B
Victoria's Secret & Co.,VSCO,35.78,36.5,-0.72,4.66,7.67,816611,3.17B
Tandem Diabetes Care Inc.,TNDM,44.95,43.04,1.91,0,-0.56,920193,2.856B
Jackson Financial Inc.,JXN,34.79,35.75,-0.96,1.23,28.3,416892,3.286B
Vermilion Energy Inc.,VET,17.7,17.75,-0.05,11.49,1.54,826182,2.873B
Tata Chemicals Limited,TATACHEM.NS,937.15,928.55,8.6,93.16,10.06,874678,238.745B
Terex Corporation,TEX,42.72,43.04,-0.32,55.05,0.78,274535,2.982B
TUI AG,TUI1.F,1.5125,1.521,-0.01,0,-6.473,12135,2.454B
PagSeguro Digital Ltd.,PAGS,8.74,8.68,0.06,12.14,0.72,2422636,2.874B
Polymetal International plc,PM6.F,5.7,5.7,0.0,3.02,1.89,20858,2.699B
J&J Snack Foods Corp.,JJSF,149.71,151.94,-2.23,1701.25,0.09,92407,2.858B
Viva Energy Group Limited,VEA.AX,2.73,2.7,0.03,0,-0.019,1837962,4.24B
Sabra Health Care REIT Inc.,SBRA,12.43,12.46,-0.03,18.55,0.67,1318535,2.842B
The Goodyear Tire & Rubber Company,GT,10.15,10.24,-0.09,0,-2.66,3572554,2.855B
IVERIC bio Inc.,ISEE,21.41,20.95,0.46,0,-1.14,1758621,2.454B
Coforge Limited,COFORGE.NS,3884.1,3915.35,-31.25,55.49,69.99,538385,236.515B
BGF retail CO. LTD.,282330.KS,210500.0,212000.0,-1500.0,0,0,33654,3.636T
Evotec SE,EVO,8.09,8.33,-0.24,9.57,0.85,8628,2.814B
Kansai Nerolac Paints Limited,KANSAINER.NS,439.25,435.4,3.85,50.1,8.77,30910,236.721B
Torrent Power Limited,TORNTPOWER.NS,492.35,496.8,-4.45,38.23,12.88,247143,236.632B
Softcat plc,SCT.L,1184.0,1189.0,-5.0,26.55,44.6,134149,2.359B
Atlas Air Worldwide Holdings Inc.,AAWW,100.8,100.89,-0.09,7.47,13.5,264937,2.926B
Duolingo Inc.,DUOL,71.13,70.52,0.61,0,-3.06,247343,2.665B
Main Street Capital Corporation,MAIN,36.95,37.09,-0.14,82.66,0.45,316479,2.571B
Shoals Technologies Group Inc.,SHLS,24.67,24.46,0.21,304.57,0.08,1345081,2.57B
mBank S.A.,MBK.WA,296.0,296.8,-0.8,37.99,7.79,34589,12.532B
Carter's Inc.,CRI,74.61,75.37,-0.76,11.89,6.28,423072,3.153B
Plexus Corp.,PLXS,102.93,103.15,-0.22,20.1,5.12,86164,2.883B
Cargotec Corporation,CGCBV.HE,41.32,42.22,-0.9,421.63,0.1,58909,2.595B
International Bancshares Corporation,IBOC,45.76,46.14,-0.38,17.47,2.62,217211,2.9B
Evolent Health Inc.,EVH,28.08,27.82,0.26,0,-3.94,703993,2.511B
Syngene International Limited,SYNGENE.NS,585.55,577.5,8.05,57.92,10.11,591316,234.687B
Grocery Outlet Holding Corp.,GO,29.19,29.32,-0.13,36.44,0.8,710021,2.803B
PennyMac Financial Services Inc.,PFSI,56.66,57.25,-0.59,2.71,20.92,213526,3.345B
Innovative Industrial Properties Inc.,IIPR,101.35,101.78,-0.43,30.99,3.27,229824,2.425B
NEXTDC Limited,NXT.AX,9.1,8.99,0.11,0,-0.14,946756,4.163B
Thermax Limited,THERMAX.NS,1968.2,1913.75,54.45,160.32,12.28,47463,234.523B
Mr. Cooper Group Inc.,COOP,40.13,40.31,-0.18,3.72,10.79,324506,3.015B
Jungheinrich Aktiengesellschaft,JUN3.F,26.62,26.98,-0.36,17.95,1.48,395,2.731B
EPR Properties,EPR,37.72,37.73,-0.01,0,-2.05,689350,2.822B
Impinj Inc.,PI,109.18,107.74,1.44,0,-2.46,186010,2.745B
Kansai Paint Co. Ltd.,4613.T,1619.0,1631.0,-12.0,30.38,53.3,339300,416.115B
PT Semen Indonesia (Persero) Tbk,SMS2.F,0.38,0.382,-0.0,12.26,0.031,16000,2.335B
Max Financial Services Limited,MFSL.NS,677.5,678.9,-1.4,56.86,11.92,626289,233.918B
PT Mitra Keluarga Karyasehat Tbk,MIKA.JK,3190.0,3100.0,90.0,47.36,67.35,9933200,45.191T
Timken India Limited,TIMKEN.NS,3103.85,3130.05,-26.2,153.3,20.25,102729,233.468B
iRhythm Technologies Inc.,IRTC,93.67,93.29,0.38,0,-1.58,260610,2.756B
Fulton Financial Corporation,FULT,16.83,16.92,-0.09,12.45,1.35,585933,2.715B
ESAB Corporation,ESAB,46.92,48.39,-1.47,0,0,192524,N/A
Federal Signal Corporation,FSS,46.47,46.73,-0.26,29.75,1.56,143977,2.838B
Siegfried Holding AG,SFZN.SW,613.5,631.5,-18.0,43.27,14.18,5544,2.593B
Mister Car Wash Inc.,MCW,9.23,9.15,0.08,0,-0.07,855221,2.744B
Pegasystems Inc.,PEGA,34.24,34.43,-0.19,0,-0.53,334466,2.797B
ironSource Ltd.,IS,2.74,2.83,-0.09,59.57,0.046,12005512,2.782B
Cushman & Wakefield plc,CWK,12.46,12.55,-0.09,0,-1.0,2100158,2.784B
Pennon Group Plc,PNN.L,888.5,900.0,-11.5,2.04,436.3,487237,2.406B
Shapir Engineering and Industry Ltd,SPEN.TA,2778.0,2802.0,-24.0,3052.75,0.91,1063786,992.238B
Dixon Technologies (India) Limited,DIXON.NS,3904.6,3922.15,-17.55,160.23,24.37,109244,231.768B
Linamar Corporation,LNR.TO,61.3,61.69,-0.39,14.36,4.27,60158,4.012B
Guoco Group Limited,0053.HK,66.5,66.2,0.3,6.4,10.39,6000,21.882B
Affirm Holdings Inc.,AFRM,9.67,9.66,0.01,0,-3.63,10416729,2.717B
Commvault Systems Inc.,CVLT,62.84,62.97,-0.13,0,-0.61,202872,2.86B
Commercial International Bank (Egypt) S.A.E,CBKD.IL,1.194,1.206,-0.01,0,0,269533,N/A
China Evergrande Group,3333.HK,1.65,1.52,0.13,1.12,1.47,208626008,21.787B
WSFS Financial Corporation,WSFS,45.34,46.32,-0.98,13.34,3.4,207798,2.969B
Kohl's Corporation,KSS,25.25,25.08,0.17,6.08,4.15,2990123,2.79B
Forward Air Corporation,FWRD,104.89,105.9,-1.01,15.16,6.92,149194,2.789B
Zee Entertainment Enterprises Limited,ZEEL.NS,240.05,239.25,0.8,32.88,7.3,4120628,230.573B
Guardant Health Inc.,GH,27.2,27.05,0.15,0,-4.13,1468865,2.786B
Punjab & Sind Bank,PSB.NS,33.75,32.2,1.55,14.0,2.41,7652505,229.767B
PTC Therapeutics Inc.,PTCT,38.17,37.08,1.09,0,-7.38,510776,2.786B
Prospect Capital Corporation,PSEC,6.99,7.06,-0.07,12.71,0.55,1256662,2.779B
Coca-Cola Içecek Anonim Sirketi,CCOLA.IS,204.4,205.5,-1.1,13.29,15.38,660952,51.993B
LXP Industrial Trust,LXP,10.02,10.15,-0.13,8.49,1.18,7008284,2.771B
TreeHouse Foods Inc.,THS,49.38,48.9,0.48,0,-0.3,468335,2.769B
Dycom Industries Inc.,DY,93.6,93.76,-0.16,87.48,1.07,203538,2.825B
Beam Therapeutics Inc.,BEAM,39.11,38.71,0.4,0,-4.19,675434,2.665B
LIC Housing Finance Limited,LICHSGFIN.NS,414.15,415.95,-1.8,7.58,54.67,1895896,227.809B
Iluka Resources Limited,ILU.AX,9.53,9.56,-0.03,1.67,5.71,805044,4.033B
Amot Investment Ltd,AMOT.TA,2065.0,2080.0,-15.0,2790.54,0.74,1056902,913.967B
Crestwood Equity Partners LP,CEQP,26.19,26.24,-0.05,0,-2.09,319242,1.647B
Cogent Communications Holdings Inc.,CCOI,57.08,56.79,0.29,167.88,0.34,190780,2.721B
Simmons First National Corporation,SFNC,21.58,21.73,-0.15,9.6,2.25,379215,2.478B
Relaxo Footwears Limited,RELAXO.NS,910.05,911.95,-1.9,93.82,9.7,59047,226.723B
Intercorp Financial Services Inc.,IFS,23.5,23.76,-0.26,5.79,4.06,11543,2.712B
Oil India Limited,OIL.NS,208.2,207.35,0.85,7.8,26.7,348400,225.774B
Immunocore Holdings plc,IMCR,57.07,57.69,-0.62,0,-3.98,198094,2.502B
Doosan Bobcat Inc.,241560.KS,34600.0,36000.0,-1400.0,0,0,222268,3.469T
Equity Commonwealth,EQC,24.97,25.29,-0.32,7.0,3.57,434055,3.019B
Premium Brands Holdings Corporation,PBH.TO,82.28,81.88,0.4,38.27,2.15,25920,3.579B
Corporación Financiera Alba S.A.,ALB.MC,43.15,42.95,0.2,0,-1.63,30318,2.513B
J.K. Cement Limited,JKCEMENT.NS,2920.6,2928.45,-7.85,33.86,86.25,81220,225.67B
KB Home,KBH,31.85,32.03,-0.18,9.04,3.52,649243,2.786B
Outfront Media Inc.,OUT,16.58,16.69,-0.11,0,-1.12,744321,2.414B
Sohgo Security Services Co.Ltd.,2331.T,3595.0,3600.0,-5.0,15.48,232.21,164900,363.94B
Patterson Companies Inc.,PDCO,28.03,28.19,-0.16,0,-5.05,530704,2.733B
Altarea SCA,ALTA.PA,126.2,128.0,-1.8,0,-18.01,2815,2.536B
Amedisys Inc.,AMED,83.54,83.88,-0.34,13.79,6.06,202741,2.724B
Ströer SE & Co. KGaA,SAX.F,43.62,42.74,0.88,70.35,0.62,60,2.492B
Excelerate Energy Inc.,EE,25.05,25.84,-0.79,0,0,312474,N/A
CRISIL Limited,CRISIL.NS,3067.3,2996.75,70.55,63.6,48.23,52027,223.816B
Boise Cascade Company,BCC,68.67,70.32,-1.65,15.47,4.44,182869,2.701B
Insmed Incorporated,INSM,19.98,19.98,0.0,0,-3.01,1086047,2.365B
Port of Tauranga Limited,POT.NZ,6.27,6.27,0.0,46.79,0.13,38564,4.266B
CT Real Estate Investment Trust,CRT-UN.TO,15.59,15.55,0.04,42.6,0.37,66568,3.629B
PacWest Bancorp,PACW,22.95,22.95,0.0,7.82,2.94,787047,2.832B
Frontline Ltd.,FRO,12.14,12.06,0.08,5.81,2.09,4135669,2.471B
CONMED Corporation,CNMD,88.64,89.15,-0.51,200.54,0.44,229206,2.592B
Rubis,RUI.PA,24.6,24.89,-0.29,9.05,2.72,91288,2.534B
Peloton Interactive Inc.,PTON,7.94,8.09,-0.15,0,-2.14,10481534,2.622B
The Scotts Miracle-Gro Company,SMG,48.59,48.6,-0.01,5.75,8.45,937950,2.673B
Makkah Construction & Development Company,4100.SR,61.4,61.4,0.0,0,-0.67,2541,10.12B
SimCorp A/S,SIM.CO,478.2,474.5,3.7,29.23,16.36,30934,18.855B
SKF India Limited,SKFINDIA.NS,4499.1,4541.2,-42.1,82.93,54.25,24705,222.427B
Allreal Holding AG,ALLN.SW,150.4,152.0,-1.6,14.3,10.52,11639,2.376B
Bayer CropScience Limited,BAYERCROP.NS,4937.4,4899.25,38.15,47.96,102.96,14325,221.897B
SYNLAB AG,SYAB.DE,11.33,11.44,-0.11,3.06,3.7,27532,2.529B
Aarti Industries Limited,AARTIIND.NS,610.1,610.9,-0.8,21.35,28.58,343222,221.186B
Korn Ferry,KFY,50.62,50.78,-0.16,58.52,0.87,314690,2.754B
MaxLinear Inc.,MXL,33.95,34.04,-0.09,0,-1.08,475622,2.605B
Flywire Corporation,FLYW,24.47,23.73,0.74,0,-0.42,1029958,2.562B
Cal-Maine Foods Inc.,CALM,54.45,53.17,1.28,39.63,1.37,1797902,2.66B
Fonterra Co-operative Group Limited,FCG.NZ,2.6,2.6,0.0,7.81,0.333,60000,4.195B
Helen of Troy Limited,HELE,110.91,111.51,-0.6,11.0,10.08,264958,2.676B
First Capital Real Estate Investment Trust,FCR-UN.TO,16.81,16.74,0.07,1400.83,0.01,88983,3.69B
Park Hotels & Resorts Inc.,PK,11.79,11.66,0.13,0,-6.11,2421063,2.788B
Methanex Corporation,MEOH,37.86,37.33,0.53,0,-1.08,196112,2.874B
Computacenter plc,CCC.L,1911.0,1943.0,-32.0,14.28,133.8,67047,2.181B
Hub Group Inc.,HUBG,79.49,80.56,-1.07,36.3,2.19,91678,2.753B
Harmonic Drive Systems Inc.,6324.T,3715.0,3715.0,0.0,0,-1.18,326900,357.617B
Moelis & Company,MC,38.37,38.79,-0.42,10.69,3.59,339554,2.64B
Varonis Systems Inc.,VRNS,23.94,23.79,0.15,0,-1.02,544989,2.569B
Sulzer Ltd,SUN.SW,0,73.05,-73.05,29.51,2.44,16569,2.433B
Ultrapar Participações S.A.,UGP,2.42,2.44,-0.02,16.13,0.15,497948,2.633B
Vistry Group PLC,VTY.L,625.5,632.5,-7.0,18.03,34.7,386939,1.391B
Ingevity Corporation,NGVT,70.44,70.95,-0.51,15.69,4.49,130699,2.767B
Devyani International Limited,DEVYANI.NS,180.75,184.9,-4.15,170.68,1.06,961002,217.356B
Group 1 Automotive Inc.,GPI,180.37,178.93,1.44,9.28,19.43,186011,3.265B
PT Gudang Garam Tbk,GGG.F,1.18,1.01,0.17,0,0,50,2.27B
Arcosa Inc.,ACA,54.34,54.99,-0.65,29.37,1.85,170295,2.626B
Northern Oil and Gas Inc.,NOG,30.82,30.65,0.17,0,-21.55,2716069,2.379B
Genworth Financial Inc.,GNW,5.29,5.29,0.0,6.3,0.84,2088340,2.684B
Atlantic Union Bankshares Corporation,AUB,35.14,35.27,-0.13,10.43,3.37,156734,2.658B
BankUnited Inc.,BKU,33.97,33.5,0.47,9.8,3.46,989734,3.026B
Pegasus Hava Tasimaciligi Anonim Sirketi,PGSUS.IS,480.0,480.6,-0.6,0,-19.21,3392201,49.104B
The Navigator Company S.A.,NVG.LS,3.454,3.482,-0.03,22.43,0.154,1080847,2.456B
Blueprint Medicines Corporation,BPMC,43.81,43.0,0.81,7.75,5.66,441431,2.578B
Vector Limited,VCT.NZ,4.13,4.17,-0.04,35.3,0.117,25991,4.13B
Cvent Holding Corp.,CVT,5.4,5.26,0.14,0,-60.75,244958,2.739B
American Eagle Outfitters Inc.,AEO,13.96,13.99,-0.03,0,-1.26,3009307,2.354B
CNO Financial Group Inc.,CNO,22.85,22.97,-0.12,6.83,3.35,418542,2.818B
Fortis Healthcare Limited,FORTIS.NS,286.1,279.7,6.4,0,-2.62,742591,215.993B
Metcash Limited,MTS.AX,3.98,3.96,0.02,17.53,0.227,2560633,3.843B
Rajesh Exports Limited,RAJESHEXPO.NS,731.7,711.2,20.5,26.2,27.93,253721,216.042B
Braze Inc.,BRZE,27.28,27.24,0.04,0,-2.22,348878,2.513B
Myovant Sciences Ltd.,MYOV,26.96,26.97,-0.01,0,-2.66,291259,2.516B
Mirati Therapeutics Inc.,MRTX,45.31,42.67,2.64,0,-7.96,1166857,2.504B
Axcelis Technologies Inc.,ACLS,79.36,79.37,-0.01,54.36,1.46,230069,2.644B
Vidrala S.A.,VID.MC,80.4,80.3,0.1,14.31,5.62,21091,2.391B
Trigano S.A.,TRI.PA,127.6,127.5,0.1,17.64,7.23,10119,2.454B
Wienerberger AG,WIB.F,22.36,22.36,0.0,28.45,0.79,18,2.516B
Privia Health Group Inc.,PRVA,22.71,22.83,-0.12,0,-1.72,638871,2.419B
Cogeco Communications Inc.,CCA.TO,76.79,75.7,1.09,9.46,8.12,69165,3.597B
Mercury Systems Inc.,MRCY,44.74,43.47,1.27,31.09,1.44,208643,2.534B
Walker & Dunlop Inc.,WD,78.48,79.06,-0.58,10.21,7.69,86203,2.578B
AdaptHealth Corp.,AHCO,19.22,19.42,-0.2,0,-0.38,265876,2.541B
Rand Merchant Investment Holdings Limited,RMI.JO,2855.0,2855.0,0.0,2907.33,0.98,2437156,4.366T
HighPeak Energy Inc.,HPK,22.87,22.88,-0.01,177.29,0.13,164855,2.227B
Marel hf.,MAREL.AS,3.22,3.16,0.06,22.05,0.146,98162,2.428B
Jamf Holding Corp.,JAMF,21.3,21.43,-0.13,0,-0.5,222510,2.536B
Ipca Laboratories Limited,IPCALAB.NS,843.1,851.9,-8.8,10.02,84.17,168457,106.969B
Alliance Resource Partners L.P.,ARLP,20.32,20.77,-0.45,64.1,0.32,444561,2.585B
