Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Gilat Satellite Networks Ltd.,GILT,5.8,5.87,-0.07,9.22,0.63,234085,327.927M
Braemar Hotels & Resorts Inc.,BHR,4.11,4.1,0.01,0,-3.391,522840,265.107M
Inspired Entertainment Inc.,INSE,12.67,12.63,0.04,0,-1.01,106384,316.38M

Sudarshan Chemical Industries Limited,SUDARSCHEM.NS,389.7,383.55,6.15,23.38,16.67,78923,26.978B
The Pennant Group Inc.,PNTG,10.98,10.92,0.06,37.73,0.29,130095,312.679M
Pizza Pizza Royalty Corp.,PZA.TO,13.64,13.7,-0.06,17.92,0.76,30969,438.898M
Columbia Care Inc.,CCHWF,0.75,0.817,-0.07,0,-0.393,783324,274.066M
Gabriel India Limited,GABRIEL.NS,185.85,182.55,3.3,46.01,4.04,542327,26.906B
The Manitowoc Company Inc.,MTW,9.16,9.31,-0.15,0,-0.55,158115,320.979M
Surya Roshni Limited,SURYAROSNI.NS,490.1,498.35,-8.25,20.58,23.82,94524,26.715B
Argonaut Gold Inc.,AR.TO,0.52,0.52,0.0,6.93,0.075,1996387,161.819M
Arctic Paper S.A.,ARP.ST,47.45,47.0,0.45,336.52,0.14,34302,3.355B
Jumia Technologies AG,JMIA,3.21,3.34,-0.13,0,-2.415,2672585,316.482M
Sierra Bancorp,BSRR,21.24,21.3,-0.06,8.39,2.53,25090,327.325M
AFC Gamma Inc.,AFCG,15.73,15.75,-0.02,8.65,1.82,108717,258.645M
11 bit studios S.A.,11B.WA,590.0,590.0,0.0,37.72,15.64,3243,1.394B
Summit Financial Group Inc.,SMMF,24.89,24.99,-0.1,8.7,2.86,12645,323.647M
Precigen Inc.,PGEN,1.52,1.41,0.11,0,-0.565,854320,314.242M
MeiraGTx Holdings plc,MGTX,6.52,6.47,0.05,0,-1.54,112057,289.805M
PepGen Inc.,PEPG,13.37,14.59,-1.22,0,0,218108,N/A
Pulmonx Corporation,LUNG,8.43,8.21,0.22,0,-2.0,270576,310.55M
SeaSpine Holdings Corporation,SPNE,8.35,7.92,0.43,0,-1.57,381301,304.289M
Soft-World International Corporation,5478.TWO,79.8,79.0,0.8,10.34,7.72,211708,9.683B
Hippo Holdings Inc.,HIPO,13.6,12.51,1.09,0,-4.57,193344,7.652B
Remedy Entertainment Oyj,REMEDY.HE,21.85,21.4,0.45,25.53,0.86,21403,290.57M
Northeast Bank,NBN,42.1,42.3,-0.2,12.38,3.4,76416,345.65M
Aadi Bioscience Inc.,AADI,12.83,12.58,0.25,0,-8.9,52936,268.07M
NVE Corporation,NVEC,64.75,64.81,-0.06,26.26,2.47,15285,312.952M
T'Way Air Co. Ltd.,091810.KS,2475.0,2590.0,-115.0,0,0,1679323,272.559B
NeoGames S.A.,NGMS,12.19,12.2,-0.01,29.88,0.41,138320,311.097M
NextNav Inc.,NN,2.93,2.88,0.05,0,-13.212,277568,279.743M
Baozun Inc.,BZUN,5.3,5.14,0.16,5.13,1.03,2093406,392.009M
Atara Biotherapeutics Inc.,ATRA,3.28,3.14,0.14,0,-4.145,1564446,294.929M
Arlo Technologies Inc.,ARLO,3.51,3.46,0.05,0,-1.3,1018081,295.891M
Marathon Gold Corporation,MOZ.TO,1.06,1.05,0.01,0,-0.04,601629,268.799M
BioAtla Inc.,BCAB,8.25,8.35,-0.1,0,-2.16,293891,303.895M
Northrim BanCorp Inc.,NRIM,54.57,54.44,0.13,7.89,6.92,6961,335.033M
Sterling Bancorp Inc. (Southfield MI),SBT,6.09,6.17,-0.08,0,-0.13,12244,307.235M
Cue Health Inc.,HLTH,2.07,2.08,-0.01,0,-0.513,493167,302.971M
Marvelous Inc.,7844.T,684.0,680.0,4.0,13.79,49.62,94600,41.286B
QIWI plc,QIWI.ME,316.0,299.0,17.0,2.23,141.66,278058,19.728B
First Business Financial Services Inc.,FBIZ,36.55,36.66,-0.11,13.47,2.71,62962,306.665M
Transphorm Inc.,TGAN,5.44,5.54,-0.1,0,-0.44,35799,279.582M
SkyWater Technology Inc.,SKYT,7.11,7.26,-0.15,0,-0.93,191632,277.714M
Trean Insurance Group Inc.,TIG,6.0,6.0,0.0,10.83,0.55,318057,307.049M
Torrid Holdings Inc.,CURV,2.96,3.03,-0.07,0,-0.147,226413,325.872M
Shriram Pistons & Rings Limited,SHRIPISTON.NS,1151.1,1098.75,52.35,53.0,21.72,4597,25.756B
Codexis Inc.,CDXS,4.66,4.68,-0.02,0,-0.404,595252,337.283M
Kyokuyo Co. Ltd.,1301.T,3800.0,3800.0,0.0,11.61,327.27,10500,40.879B
Orient Cement Limited,ORIENTCEM.NS,123.05,122.9,0.15,15.94,7.72,232006,25.224B
Miller Industries Inc.,MLR,26.66,26.59,0.07,10.19,2.62,22726,304.209M
Ashoka Buildcon Limited,ASHOKA.NS,89.65,89.5,0.15,9.41,9.52,1267766,25.167B
BCB Bancorp Inc.,BCBP,17.99,18.05,-0.06,12.71,1.41,124668,306.425M
ReneSola Ltd,SOL,4.52,4.52,0.0,68.48,0.066,493325,315.263M
Saratoga Investment Corp.,SAR,25.49,25.42,0.07,8.83,2.89,30435,289.689M
WhiteHorse Finance Inc.,WHF,13.05,12.92,0.13,8.46,1.54,88272,302.089M
Focus Entertainment Société anonyme,ALFOC.PA,45.6,46.0,-0.4,19.42,2.35,3045,283.058M
Aeroporto Guglielmo Marconi di Bologna S.p.A.,ADB.MI,7.8,7.8,0.0,0,-0.38,482,281.78M
Bakhu Holdings Corp.,BKUH,1.0,1.0,0.0,0,-0.01,3500,300.67M
Green Plains Partners LP,GPP,12.96,12.53,0.43,7.44,1.74,41010,301.031M
Aurora Cannabis Inc.,ACB,0.9226,0.9022,0.02,0,-15.749,4556448,182.928M
Weave Communications Inc.,WEAV,4.58,4.61,-0.03,0,-3.824,80084,294.219M
Oyster Point Pharma Inc.,OYST,11.17,11.15,0.02,0,-3.11,1881725,292.251M
Rani Therapeutics Holdings Inc.,RANI,5.9,5.88,0.02,0,-1.01,56376,116.3M
Innate Pharma S.A.,IPHA,3.73,3.59,0.14,0,-1.107,56750,300.268M
Astra Microwave Products Limited,ASTRAMICRO.NS,285.7,261.6,24.1,205.98,1.39,2789605,24.766B
eMudhra Limited,EMUDHRA.NS,316.35,319.55,-3.2,0,0,94365,N/A
Forge Global Holdings Inc.,FRGE,1.73,1.55,0.18,0,0,580995,N/A
Siyaram Silk Mills Limited,SIYSIL.NS,526.15,526.55,-0.4,0,-6.72,56587,24.697B
ADC Therapeutics SA,ADCT,3.84,3.79,0.05,0,-3.278,599913,294.611M
Heron Therapeutics Inc.,HRTX,2.5,2.47,0.03,0,-2.504,2138756,254.838M
LiveVox Holdings Inc.,LVOX,2.97,2.71,0.26,0,-1.012,88056,291.775M
Jaiprakash Associates Limited,JPASSOCIAT.NS,10.0,10.0,0.0,1.22,8.19,7261120,24.688B
Gannett Co. Inc.,GCI,2.03,2.0,0.03,0,-5.09,1033718,288.926M
Aeva Technologies Inc.,AEVA,1.36,1.34,0.02,0,-1.607,1496183,291.051M
Richardson Electronics Ltd.,RELL,21.33,21.54,-0.21,0,-0.12,126672,284.493M
Tidewater Renewables Ltd.,LCFS.TO,11.51,11.15,0.36,0,0,2685,398.649M
Bed Bath & Beyond Inc.,BBBY,2.51,2.52,-0.01,0,-1.241,6549520,253.661M
Centessa Pharmaceuticals plc,CNTA,3.1,3.23,-0.13,0,-3.691,511965,278.693M
Media and Games Invest SE,M8G.DE,1.725,1.7315,-0.01,40.12,0.043,33116,258.198M
Nkarta Inc.,NKTX,5.99,5.63,0.36,0,-2.47,747484,197.367M
PCSB Financial Corporation,PCSB,19.04,19.26,-0.22,23.92,0.8,124818,295.543M
PTC India Limited,PTC.NS,81.2,78.95,2.25,5.65,14.38,507200,24.036B
Clarus Corporation,CLAR,7.84,7.88,-0.04,43.56,0.18,557226,289.983M
Luna Innovations Incorporated,LUNA,8.79,9.13,-0.34,82.92,0.11,104600,280.996M
MBM Resources Bhd,5983.KL,3.28,3.28,0.0,19.07,0,45700,1.282B
The Restaurant Group plc,RTN.L,31.24,31.22,0.02,0,-21.3,816581,239.001M
Prelude Therapeutics Incorporated,PRLD,6.04,5.56,0.48,0,-2.18,211988,285.181M
C4 Therapeutics Inc.,CCCC,5.9,5.76,0.14,0,-1.81,497556,286.891M
eGain Corporation,EGAN,9.03,8.88,0.15,37.62,0.24,52481,283.436M
Unity Bancorp Inc.,UNTY,27.33,27.29,0.04,10.94,2.5,8274,289.135M
Gritstone bio Inc.,GRTS,3.45,3.27,0.18,0,-2.787,1000944,234.558M
DBV Technologies S.A.,DBVT,1.53,1.58,-0.05,0,-1.475,236545,172.869M
Viemed Healthcare Inc.,VMD,7.56,7.62,-0.06,31.37,0.24,51514,300.173M
India Glycols Limited,INDIAGLYCO.NS,767.6,763.75,3.85,30.27,25.36,21510,23.766B
Ethos Limited,ETHOSLTD.NS,1018.25,1014.85,3.4,0,0,28153,N/A
Rubicon Technologies Inc.,RBT,1.78,1.6,0.18,0,0,38717,N/A
Karat Packaging Inc.,KRT,14.37,14.28,0.09,15.54,0.93,5055,284.517M
LumiraDx Limited,LMDX,0.9,0.92,-0.02,0,-2.222,167805,227.43M
Ocugen Inc.,OCGN,1.3,1.26,0.04,0,-0.253,4399450,258.942M
Greenlight Capital Re Ltd.,GLRE,8.15,8.14,0.01,76.17,0.11,44424,275.832M
